"EventProcessedUtcTime","PartitionId","EventEnqueuedUtcTime","metadata_deviceType","metadata_studentId","metadata_uid","telemetry_temperature","telemetry_pressure","telemetry_humidity","telemetry_windSpeed","telemetry_windDirection","IoTHub_ConnectionDeviceId"
2019-07-04T15:01:08.1913245Z,1,2019-07-04T15:01:08.1340000Z,"WeatherStation","4C2C5A3B","D571DFDC113A181D",30.399999618530273,1030.66455078125,79.4000015258789,30.200042724609375,234,"cwf-mx-001"
2019-07-04T15:01:28.9166490Z,1,2019-07-04T15:01:28.8110000Z,"WeatherStation","4C2C5A3B","D7B2696B38DEA1A4",29.5,1030.67529296875,70.5999984741211,11.199994087219238,239,"cwf-mx-001"
2019-07-04T15:01:39.0659054Z,1,2019-07-04T15:01:39.0460000Z,"WeatherStation","4C2C5A3B","509E18341ADCE74D",27.899999618530273,1030.69287109375,65.699996948242188,11.199994087219238,174,"cwf-mx-001"
2019-07-04T15:02:09.4759460Z,1,2019-07-04T15:02:09.3880000Z,"WeatherStation","4C2C5A3B","ABF9B2E387A048C1",24.799999237060547,1030.688720703125,66.5,11.199994087219238,149,"cwf-mx-001"
2019-07-04T15:02:40.9255484Z,1,2019-07-04T15:02:40.8760000Z,"WeatherStation","4C2C5A3B","9F210CF59950D23C",23.200000762939453,1030.64453125,73.699996948242188,11.199994087219238,117,"cwf-mx-001"
2019-07-04T15:03:11.3767746Z,1,2019-07-04T15:03:11.2980000Z,"WeatherStation","4C2C5A3B","C874563CF6D50EA4",27.299999237060547,1030.68310546875,81.199996948242188,14.199991226196289,255,"cwf-mx-001"
2019-07-04T15:03:41.7167904Z,1,2019-07-04T15:03:41.6510000Z,"WeatherStation","4C2C5A3B","FA0FD99E479FACFE",25.200000762939453,1030.660888671875,70.0999984741211,11.399993896484375,215,"cwf-mx-001"
2019-07-04T15:04:12.3687074Z,1,2019-07-04T15:04:12.3190000Z,"WeatherStation","4C2C5A3B","93091E68AC4E5042",26.5,1030.612060546875,75.4000015258789,10.199995040893555,196,"cwf-mx-001"
2019-07-04T15:04:42.8436100Z,1,2019-07-04T15:04:42.7620000Z,"WeatherStation","4C2C5A3B","F31FDEB60673BC5F",28.299999237060547,1030.70751953125,67.300003051757813,17.199993133544922,210,"cwf-mx-001"
2019-07-04T15:05:13.1929011Z,1,2019-07-04T15:05:13.1140000Z,"WeatherStation","4C2C5A3B","781953CE1DEA49D0",26.700000762939453,1030.687255859375,66.4000015258789,17.599994659423828,205,"cwf-mx-001"
2019-07-04T15:05:34.0290749Z,1,2019-07-04T15:05:34.0000000Z,"WeatherStation","4C2C5A3B","1FD5E0744758A4C2",24.5,1030.69287109375,66.5,17.599994659423828,204,"cwf-mx-001"
2019-07-04T15:05:54.8579175Z,1,2019-07-04T15:05:54.8110000Z,"WeatherStation","4C2C5A3B","90076A53FA2C8D94",26.100000381469727,1030.698486328125,70.300003051757813,21.200008392333984,207,"cwf-mx-001"
2019-07-04T15:06:15.7865519Z,1,2019-07-04T15:06:15.7090000Z,"WeatherStation","4C2C5A3B","9A4E8E283F1826E3",24.700000762939453,1030.650390625,69.300003051757813,21.200008392333984,206,"cwf-mx-001"
2019-07-04T15:06:26.3035894Z,1,2019-07-04T15:06:26.2740000Z,"WeatherStation","4C2C5A3B","27B2E2254E07E64A",24.299999237060547,1030.639404296875,69.699996948242188,21.200008392333984,207,"cwf-mx-001"
2019-07-04T15:06:36.7099023Z,1,2019-07-04T15:06:36.6580000Z,"WeatherStation","4C2C5A3B","E3FA5EBAAB3B6078",23.799999237060547,1030.721923828125,70.9000015258789,21.200008392333984,207,"cwf-mx-001"
2019-07-04T15:06:47.0045758Z,1,2019-07-04T15:06:46.9780000Z,"WeatherStation","4C2C5A3B","0AD614DC9FFAE680",23.600000381469727,1030.68310546875,72,21.200008392333984,208,"cwf-mx-001"
2019-07-04T15:06:57.6202669Z,1,2019-07-04T15:06:57.4970000Z,"WeatherStation","4C2C5A3B","8314EDCFB21CE186",23.299999237060547,1030.654541015625,73.199996948242188,21.200008392333984,207,"cwf-mx-001"
2019-07-04T15:07:08.0185222Z,1,2019-07-04T15:07:07.9250000Z,"WeatherStation","4C2C5A3B","53E4C13E476C8EDB",23.200000762939453,1030.662841796875,74,21.200008392333984,207,"cwf-mx-001"
2019-07-04T15:07:18.3827924Z,1,2019-07-04T15:07:18.2580000Z,"WeatherStation","4C2C5A3B","0CC7FFFBFE96E1DB",22.899999618530273,1030.66796875,74.800003051757813,21.200008392333984,207,"cwf-mx-001"
2019-07-04T15:07:28.5477050Z,1,2019-07-04T15:07:28.4780000Z,"WeatherStation","4C2C5A3B","F4147E7E16D52342",22.799999237060547,1030.693115234375,75.5999984741211,21.200008392333984,208,"cwf-mx-001"
